Безопасность,Натуральность,Пищевая ценность,Качество,Наименование,Ссылка,Общий рейтинг
70.0,30.0,10.0,56.0,"Колбаса ""Клинский"" ""Телячья""",https://roscontrol.com/product/kolbasa-klinskiy-telyachya/,42
77.0,50.0,1.0,77.0,"""Окраина"", ""Русская""",https://roscontrol.com/product/kolbasa-russkaya-okraina/,51
49.0,50.0,24.0,82.0,"Колбаса ""Окраина"", ""Докторская""",https://roscontrol.com/product/kolbasa-okraina-doktorskaya/,51
56.0,40.0,13.0,76.0,"Колбаса ""Мираторг"", ""Докторская",https://roscontrol.com/product/kolbasa-miratorg-doktorskaya/,46
49.0,55.0,22.0,78.0,"""Велком"", ""Докторская""",https://roscontrol.com/product/velkom-doktorskaya/,51
67.0,55.0,4.0,63.0,"""Русская"", ""МясновЪ""",https://roscontrol.com/product/kolbasa-russkaya-myasnov/,47
66.0,65.0,24.0,85.0,"""Ерёмкина Татьяна"", ""Докторская""",https://roscontrol.com/product/ermkina-tatyana-doktorskaya/,60
59.0,45.0,12.0,67.0,"""Клинский"" мясокомбинат, ""Докторская""",https://roscontrol.com/product/klinskiy-myasokombinat-doktorskaya/,46
72.0,50.0,14.0,69.0,"""Дымов"", ""Докторская""",https://roscontrol.com/product/kolbasa-dimov-doktorskaya/,51
57.0,50.0,12.0,69.0,"""Рублёвский"", ""Молочная""",https://roscontrol.com/product/kolbasa-rublvskiy-molochnaya/,47
68.0,65.0,8.0,64.0,"""Еремкина Т.П."", ""Любительская""",https://roscontrol.com/product/kolbasa-eremkina-tp-lyubitelskaya/,51
67.0,50.0,8.0,71.0,"""Окраина"", ""Молочная ГОСТ""",https://roscontrol.com/product/kolbasa-okraina-molochnaya-gost/,49
0.0,40.0,4.0,28.0,"Колбаса ""Мясницкий ряд"" ""Телячья""",https://roscontrol.com/product/kolbasa-myasnitskiy-ryad-telyachya/,18
66.0,25.0,0.0,33.0,"Колбаса ""Велком"" ""Телячья""",https://roscontrol.com/product/kolbasa-velkom-telyachya/,31
52.0,35.0,0.0,39.0,"Колбаса ""Окраина"" ""Телячья""",https://roscontrol.com/product/kolbasa-okraina-telyachya/,32
60.0,55.0,10.0,48.0,"""Рублевский"" ""Любительская""",https://roscontrol.com/product/rublevskiy-lyubitelskaya/,43
76.0,25.0,0.0,35.0,"""Мясницкий ряд"", ""Русская""",https://roscontrol.com/product/myasnitskiy-ryad-russkaya/,34
76.0,40.0,0.0,0.0,"""Рублёвский"", ""Русская""",https://roscontrol.com/product/rublvskiy-russkaya/,29
57.0,35.0,0.0,22.0,"""Царицыно"", ""Русская""",https://roscontrol.com/product/kolbasa-russkaya-tsaritsino/,29
75.0,45.0,1.0,40.0,"""Малаховский"", ""Русская""",https://roscontrol.com/product/kolbasa-varenaya-russkaya-malahovskiy/,40
57.0,30.0,23.0,60.0,"Колбаса ""Малаховский"", ""Докторская""",https://roscontrol.com/product/kolbasa-malahovskiy-doktorskaya/,43
66.0,25.0,3.0,36.0,"Колбаса ""Микоян"", ""Докторская""",https://roscontrol.com/product/mikoyan-doktorskaya/,33
57.0,15.0,20.0,48.0,"""Останкино"", ""Докторская""",https://roscontrol.com/product/ostankino-doktorskaya/,35
0.0,0.0,0.0,0.0,"""Метатр"", ""Докторская""",https://roscontrol.com/product/kolbasa-metatr-doktorskaya/,35
44.0,0.0,0.0,36.0,"""Коровино"", ""Докторская традиционная""",https://roscontrol.com/product/kolbasa-korovino-doktorskaya-traditsionnaya/,20
0.0,0.0,0.0,0.0,"""Стародворские колбасы"", ""Докторская""",https://roscontrol.com/product/doktorskaia/,20
0.0,0.0,0.0,0.0,"""Умка"", ""Детская сливочная""",https://roscontrol.com/product/kolbasa-varenaya-umka-detskaya-slivochnaya/,20
45.0,65.0,16.0,44.0,"""Велком"", ""Молочная""",https://roscontrol.com/product/kolbasa-velkom-molochnaya/,43
0.0,0.0,0.0,0.0,"""Останкино"", ""Молочная""",https://roscontrol.com/product/kolbasa-ostankino-molochnaya/,43
0.0,0.0,0.0,0.0,"""Великолукский мясокомбинат"", ""Детям""",https://roscontrol.com/product/kolbasa-velikolukskiy-myasokombinat-detyam/,43
0.0,0.0,0.0,0.0,"""Великолукский мясокомбинат"", ""Докторская ГОСТ""",https://roscontrol.com/product/kolbasa-velikolukskiy-myasokombinat-doktorskaya-gost/,43
0.0,0.0,0.0,0.0,"""Русская Рамфуд""",https://roscontrol.com/product/kolbasa-ramfud-russkaya/,43
0.0,0.0,0.0,0.0,"""Раменский деликатес"", ""Докторская""",https://roscontrol.com/product/kolbasa-ramenskiy-delikates-doktorskaya/,43
0.0,0.0,0.0,0.0,"""Докторская от Дымова""",https://roscontrol.com/product/doktorskaya-ot-dimova/,43
0.0,0.0,0.0,0.0,"""Докторская по-егорьевски""",https://roscontrol.com/product/egorevskaya-doktorskaya-po-egorevski/,43
0.0,0.0,0.0,0.0,"""Метатр"", ""докторская оригинальная""",https://roscontrol.com/product/metatr-doktorskaya-original-naya/,43
0.0,0.0,0.0,0.0,"""Русский фермер"", ""докторская народная""",https://roscontrol.com/product/russkiy-fermer-doktorskaya-narodnaya/,43
0.0,0.0,0.0,0.0,"""КампоМос"", ""Докторская классическая""",https://roscontrol.com/product/kampomos-doktorskaya-klassicheskaya/,43
